0,1,2,3,4,5,6,7,8,9,10,11
Batter,Pitcher,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG
Enmanuel Valdez,Dylan Cease,3,1,1,0,0,0,0,.333,.333,.667
Joey Bart,Dylan Cease,1,0,0,0,0,0,1,.000,.000,.000
Ke'Bryan Hayes,Dylan Cease,4,2,0,1,0,1,1,.500,.600,1.000
Adam Frazier,Dylan Cease,14,4,0,0,0,0,2,.286,.286,.286
Alexander Canario,Dylan Cease,0,0,0,0,0,0,0,.000,.000,.000
Jared Triolo,Dylan Cease,0,0,0,0,0,0,0,.000,.000,.000
Ketel Marte,Jesus Luzardo,6,3,1,0,0,2,1,.500,.625,.667
Corbin Carroll,Jesus Luzardo,3,1,0,0,0,0,0,.333,.333,.333
Randal Grichuk,Jesus Luzardo,3,1,0,0,0,0,0,.333,.333,.333
Eugenio Suarez,Jesus Luzardo,5,1,0,0,0,1,1,.200,.333,.200
Josh Naylor,Jesus Luzardo,2,2,0,0,0,0,0,1.000,1.000,1.000
Gabriel Moreno,Jesus Luzardo,2,1,0,0,0,1,0,.500,.667,.500
Lourdes Gurriel,Jesus Luzardo,3,1,0,0,0,0,1,.333,.333,.333
Alek Thomas,Jesus Luzardo,1,0,0,0,0,0,0,.000,.000,.000
Geraldo Perdomo,Jesus Luzardo,1,0,0,0,0,0,1,.000,.000,.000
Bryson Stott,Merrill Kelly,5,1,0,1,0,0,0,.200,.200,.600
Trea Turner,Merrill Kelly,24,10,3,0,0,3,3,.417,.481,.542
Bryce Harper,Merrill Kelly,6,1,0,0,0,2,0,.167,.375,.167
Kyle Schwarber,Merrill Kelly,9,1,0,0,0,2,4,.111,.273,.111
Nick Castellanos,Merrill Kelly,5,1,1,0,0,0,2,.200,.200,.400
Max Kepler,Merrill Kelly,6,1,0,0,1,0,0,.167,.167,.667
J.T. Realmuto,Merrill Kelly,11,3,1,0,1,0,1,.273,.273,.636
Alec Bohm,Merrill Kelly,2,1,1,0,0,0,1,.500,.500,1.000
Cal Stevenson,Merrill Kelly,2,0,0,0,0,0,1,.000,.000,.000
Jonathan India,Dean Kremer,7,2,0,0,1,1,0,.286,.375,.714
Bobby Witt,Dean Kremer,11,4,0,0,1,1,0,.364,.417,.636
Vinnie Pasquantino,Dean Kremer,7,2,0,0,1,2,0,.286,.444,.714
Maikel Garcia,Dean Kremer,8,2,1,0,0,0,2,.250,.250,.375
Michael Massey,Dean Kremer,4,2,1,0,0,0,1,.500,.500,.750
Mark Canha,Dean Kremer,0,0,0,0,0,0,0,.000,.000,.000
Drew Waters,Dean Kremer,0,0,0,0,0,0,0,.000,.000,.000
Freddy Fermin,Dean Kremer,0,0,0,0,0,0,0,.000,.000,.000
Kyle Isbel,Dean Kremer,6,1,0,0,0,0,0,.167,.167,.167
Cedric Mullins,Michael Wacha,23,9,2,1,2,0,6,.391,.417,.826
Gunnar Henderson,Michael Wacha,14,1,0,0,0,0,5,.071,.071,.071
Adley Rutschman,Michael Wacha,12,3,1,0,1,1,4,.250,.308,.583
Ryan O'Hearn,Michael Wacha,7,1,0,0,1,1,2,.143,.250,.571
Ryan Mountcastle,Michael Wacha,22,10,0,1,3,1,4,.455,.478,.955
Jackson Holliday,Michael Wacha,2,1,0,1,0,0,0,.500,.500,1.500
Ramon Urias,Michael Wacha,16,5,1,1,1,0,1,.313,.313,.688
Heston Kjerstad,Michael Wacha,2,0,0,0,0,0,0,.000,.000,.000
Ramon Laureano,Michael Wacha,2,0,0,0,0,0,1,.000,.000,.000
Chandler Simpson,Max Fried,3,1,0,0,0,0,0,.333,.333,.333
Yandy Diaz,Max Fried,8,2,0,0,0,1,1,.250,.333,.250
Junior Caminero,Max Fried,3,0,0,0,0,0,0,.000,.000,.000
Jonathan Aranda,Max Fried,2,0,0,0,0,1,0,.000,.333,.000
Christopher Morel,Max Fried,6,0,0,0,0,0,1,.000,.000,.000
Jose Caballero,Max Fried,3,0,0,0,0,0,0,.000,.000,.000
